result
Id,Term,Crn,Subj,Number,Section,Footnote,Title,Credit,CreditMax,Res,Fy,HasPerm,HasGuide,Meetings/0/Location,Meetings/0/U,Meetings/0/M,Meetings/0/T,Meetings/0/W,Meetings/0/R,Meetings/0/F,Meetings/0/S,Meetings/0/Start,Meetings/0/End,Meetings/0/Credit,Meetings/1/Location,Meetings/1/U,Meetings/1/M,Meetings/1/T,Meetings/1/W,Meetings/1/R,Meetings/1/F,Meetings/1/S,Meetings/1/Start,Meetings/1/End,Meetings/1/Credit,Instructors/0/Display,Reqs/0/Code,Reqs/0/Desc,Reqs/0/Fy,Reqs/0/Uc,DeptCodes/0,Reqs/1/Code,Reqs/1/Desc,Reqs/1/Fy,Reqs/1/Uc,Reqs/2/Code,Reqs/2/Desc,Reqs/2/Fy,Reqs/2/Uc,Reqs/3/Code,Reqs/3/Desc,Reqs/3/Fy,Reqs/3/Uc,Instructors/1/Display,DeptCodes/1,Reqs/4/Code,Reqs/4/Desc,Reqs/4/Fy,Reqs/4/Uc,Instructors/2/Display,Instructors/3/Display,Instructors/4/Display,Reqs/5/Code,Reqs/5/Desc,Reqs/5/Fy,Reqs/5/Uc,DeptCodes/2,DeptCodes/3,Instructors/5/Display,Instructors/6/Display
202505-55215,202505,55215,IREL,286,1,Cross-listed with POLS 286,Nonstate Actors in IREL,1,,,N,N,Y,ACWS 108,N,Y,N,Y,N,N,N,1500,1620,1,,,,,,,,,,,,"Haque, Aynal",GBCC,Global Connections,Y,Y,IREL,SLSC,Social Science,Y,Y,SSLG,Social Science Learning Goals,Y,Y,,,,,,,,,,,,,,,,,,,,,
202505-55232,202505,55232,BIOL,382,1,Crosslisted with ANBE 382,Mass Extinctions,1,,,N,Y,N,BIOL 102,N,Y,N,Y,N,N,N,1500,1620,1,,,,,,,,,,,,"Takahashi, Mizuki",NPJ,"Nature, People and Justice",Y,Y,BIOL,NSMC,Natural Science and Mathematics,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55233,202505,55233,BIOL,682,1,,Mass Extinctions,1,,,N,Y,N,BIOL 102,N,Y,N,Y,N,N,N,1500,1620,1,,,,,,,,,,,,"Takahashi, Mizuki",NSMC,Natural Science and Mathematics,Y,Y,BIOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55234,202505,55234,ANBE,382,1,Cross-listed with BIOL 382,Mass Extinctions,1,,,N,Y,N,BIOL 102,N,Y,N,Y,N,N,N,1500,1620,1,,,,,,,,,,,,"Takahashi, Mizuki",NPJ,"Nature, People and Justice",Y,Y,ANBE,NSMC,Natural Science and Mathematics,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55260,202505,55260,EAST,255,1,Crosslisted with HIST 296,Modern Japanese History,1,,,Y,N,Y,VAUG 101,N,Y,N,Y,N,N,N,1500,1620,1,,,,,,,,,,,,"Orr, James J.",AHLG,Arts and Humanities Learning Goals,Y,Y,EAST,ARHC,Arts and Humanities,Y,Y,FRST,First year course,N,Y,GBCC,Global Connections,Y,Y,,,,,,,,,,,,,,,,,
202505-55266,202505,55266,MUSC,178,2,,String Bass Lessons I,0.25,,,N,Y,N,,N,N,N,N,N,N,N,,,0.25,,,,,,,,,,,,"Rodríguez-Parada, Nelson J.",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55271,202505,55271,MUSC,278,2,,String Bass Lessons II,0.25,,,N,Y,N,,N,N,N,N,N,N,N,,,0.25,,,,,,,,,,,,"Rodríguez-Parada, Nelson J.",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55272,202505,55272,MUSC,378,2,,String Bass Lessons III,0.25,,,N,Y,N,,N,N,N,N,N,N,N,,,0.25,,,,,,,,,,,,"Rodríguez-Parada, Nelson J.",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55281,202505,55281,MUSC,272,1,"In addition to your private lessons, this class requires mandatory attendance at voice studio (group) sessions Tuesdays at 1PM.  Your private lessons can be scheduled around your class schedule but you must also attend the Tuesday session.",Voice Lessons II,0.25,1,,N,Y,Y,,N,N,N,N,N,N,N,,,0,,,,,,,,,,,,"Martin, Emily C.",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55282,202505,55282,MUSC,272,2,"In addition to your private lessons, this class requires mandatory attendance at voice studio (group) sessions Tuesdays at 1PM.  Your private lessons can be scheduled around your class schedule but you must also attend the Tuesday session.",Voice Lessons II,0.25,1,,N,Y,N,,N,N,N,N,N,N,N,,,0,,,,,,,,,,,,"Stewart, Susannah",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55283,202505,55283,MUSC,272,3,"In addition to your private lessons, this class requires mandatory attendance at voice studio (group) sessions Tuesdays at 1PM.  Your private lessons can be scheduled around your class schedule but you must also attend the Tuesday session.",Voice Lessons II,0.25,1,,N,Y,N,,N,N,N,N,N,N,N,,,0,,,,,,,,,,,,"Klinger, Joseph",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55284,202505,55284,MUSC,372,1,"In addition to your private lessons, this class requires mandatory attendance at voice studio (group) sessions Tuesdays at 1PM.  Your private lessons can be scheduled around your class schedule but you must also attend the Tuesday session.",Voice Lessons III,0.25,1,,N,Y,Y,,N,N,N,N,N,N,N,,,0,,,,,,,,,,,,"Martin, Emily C.",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55285,202505,55285,MUSC,372,2,"In addition to your private lessons, this class requires mandatory attendance at voice studio (group) sessions Tuesdays at 1PM.  Your private lessons can be scheduled around your class schedule but you must also attend the Tuesday session.",Voice Lessons III,0.25,1,,N,Y,N,,N,N,N,N,N,N,N,,,0,,,,,,,,,,,,"Stewart, Susannah",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55286,202505,55286,MUSC,372,3,"In addition to your private lessons, this class requires mandatory attendance at voice studio (group) sessions Tuesdays at 1PM.  Your private lessons can be scheduled around your class schedule but you must also attend the Tuesday session.",Voice Lessons III,0.25,1,,N,Y,N,,N,N,N,N,N,N,N,,,0,,,,,,,,,,,,"Klinger, Joseph",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55295,202505,55295,ANBE,686,3,,Graduate Research,1,,,N,Y,N,,N,N,N,N,N,N,N,,,1,,,,,,,,,,,,"Takahashi, Mizuki",,,,,ANBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55308,202505,55308,MUSC,172,1,"In addition to your private lessons, this class requires mandatory attendance at voice studio (group) sessions Tuesdays at 1PM.  Your private lessons can be scheduled around your class schedule but you must also attend the Tuesday session.",Voice Lessons I,0.25,1,,N,Y,Y,,N,N,N,N,N,N,N,,,0,,,,,,,,,,,,"Martin, Emily C.",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55309,202505,55309,MUSC,172,2,"In addition to your private lessons, this class requires mandatory attendance at voice studio (group) sessions Tuesdays at 1PM.  Your private lessons can be scheduled around your class schedule but you must also attend the Tuesday session.",Voice Lessons I,0.25,1,,N,Y,N,,N,N,N,N,N,N,N,,,0,,,,,,,,,,,,"Stewart, Susannah",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55310,202505,55310,MUSC,172,3,"In addition to your private lessons, this class requires mandatory attendance at voice studio (group) sessions Tuesdays at 1PM.  Your private lessons can be scheduled around your class schedule but you must also attend the Tuesday session.",Voice Lessons I,0.25,1,,N,Y,N,,N,N,N,N,N,N,N,,,0,,,,,,,,,,,,"Klinger, Joseph",ARHC,Arts and Humanities,Y,Y,MUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55326,202505,55326,BIOL,266,1,"Preference given to ANBE and PSYC majors. Others should waitlist. Cross-listed with ANBE 266 and PSYC 266.
Seats reserved on ANBE 266 and PSYC 266 crosslist for ANBE and PSYC majors. See <a href=""https://pubapps.bucknell.edu/CourseInformation/#/guide?term=202505&crn=55326&subject=BIOL&number=266"" target=""_blank"">Course Guide</a> for reserved seat information.",Animal Behavior,1,,,N,N,N,RCHM 018,N,Y,N,Y,N,Y,N,1000,1050,1,,,,,,,,,,,,"Benowitz-Fredericks, Morgan",NMLG,Natural Science and Mathematics Learning Goals,Y,Y,BIOL,NSMC,Natural Science and Mathematics,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55328,202505,55328,ANBE,682,1,Cross listed with BIOL 682,Mass Extinctions,1,,,N,Y,N,BIOL 102,N,Y,N,Y,N,N,N,1500,1620,1,,,,,,,,,,,,"Takahashi, Mizuki",NSMC,Natural Science and Mathematics,Y,Y,ANBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55345,202505,55345,ARBC,101,1,Students must select ARBC 101R 40 recitation.,Beginning Arabic I,1,,,Y,N,Y,VAUG 102,N,Y,N,Y,N,Y,N,1100,1150,1,,,,,,,,,,,,"Isleem, Dena",ARHC,Arts and Humanities,Y,Y,ARBC,CCFL,Foreign Language,Y,Y,FRST,First year course,N,Y,,,,,,,,,,,,,,,,,,,,,
202505-55377,202505,55377,RESC,221,1,,Environmental Dinner Seminar,0.25,,,N,Y,N,HMHC 006,N,N,N,Y,N,N,N,1700,1820,0,,,,,,,,,,,,"Shields, James M.",RENV,Environmental Res College,Y,Y,RESC,RESC,Residential College,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55378,202505,55378,RESC,221,6,,Social Justice Dinner Seminar,0.25,,,N,Y,N,,N,N,N,N,N,N,N,,,0.25,,,,,,,,,,,,"Eversole, Robyn",RESC,Residential College,Y,N,RESC,RSOJ,Social Justice Res College,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55379,202505,55379,RESC,221,3,,Lang & Cult Dinner Seminar,0.25,,,N,Y,N,,N,N,N,Y,N,N,N,1715,1845,0,,,,,,,,,,,,"Chen, Song",RESC,Residential College,Y,N,RESC,RLAN,Languages & Cultures Res Coll,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55386,202505,55386,UNIV,192,1,Please see Course Guide for a link to course application.,"Food, Faith, Justice",0.5,,,N,Y,Y,CHAP 113,N,N,N,N,Y,N,N,1630,1750,0.5,,,,,,,,,,,,"Nelson, Kurt D.",CEL,Community Engaged Learning,Y,Y,UNIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55387,202505,55387,UNIV,193,1,,Teaching Assistant for FFJ,0.25,,,N,Y,N,,N,N,N,N,N,N,N,,,0.25,,,,,,,,,,,,"Nelson, Kurt D.",,,,,UNIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55400,202505,55400,UNIV,175,1,Seats reserved for all class-years in each section of UNIV 175. Please see Course Guide for reserved seat information.,JumpStart Your Career,0.5,,Closed,N,N,N,BRKI 166,N,N,N,N,Y,N,N,1000,1120,0,,,,,,,,,,,,"Shull, Marilyn H.",,,,,UNIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55401,202505,55401,UNIV,175,2,Seats reserved for all class-years in each section of UNIV 175. Please see Course Guide for reserved seat information.,JumpStart Your Career,0.5,,Closed,N,N,N,OBSV 105,N,Y,N,N,N,N,N,1330,1450,0,,,,,,,,,,,,"Matlack, Christa L.",,,,,UNIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55627,202505,55627,ACFM,201,3,,Business Law,1,,,N,N,N,HOLM 341,N,Y,N,Y,N,Y,N,1000,1050,1,,,,,,,,,,,,"Aikey, Kylie S.",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55633,202505,55633,ACFM,321,1,Section ACFM 321 01: Common hour Thursday 7:00-9:50 pm used frequently.,Intermediate Financial Acct I,1,,,N,N,Y,HOLM 251,N,N,Y,N,Y,N,N,1500,1620,1,HOLM 129,N,N,N,N,Y,N,N,1900,2150,0,"Street, Daniel A.",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55634,202505,55634,ACFM,204,1,Section ACFM 204 01: Common hour Monday 7:00-9:50 pm used frequently. No conflicts accepted.,Foundations of Accounting II,1,,,N,N,Y,HOLM 231,N,Y,N,Y,N,Y,N,1000,1050,1,HOLM 116,N,Y,N,N,N,N,N,1900,2150,0,"Lawson, Amber L.",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55635,202505,55635,ACFM,204,2,Section ACFM 204 02: Common hour Monday 7:00-9:50 pm used frequently. No conflicts accepted.,Foundations of Accounting II,1,,,N,N,Y,HOLM 231,N,Y,N,Y,N,Y,N,1100,1150,1,HOLM 116,N,Y,N,N,N,N,N,1900,2150,0,"Lawson, Amber L.",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55636,202505,55636,ACFM,325,1,,"Corp,Partnrship,Gift,EstateTax",1,,,N,N,N,HOLM 251,N,N,Y,N,Y,N,N,1000,1120,1,DANA 113,N,N,N,Y,N,N,N,1900,2150,0,"Lawson, James G.",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55637,202505,55637,ACFM,104,1,,Foundations of Accounting I,1,,,N,N,N,ACWS 210,N,N,Y,N,Y,N,N,1500,1620,1,DANA 113,N,N,N,Y,N,N,N,1900,2150,0,"Lawson, James G.",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55638,202505,55638,ACFM,104,2,,Foundations of Accounting I,1,,,N,N,N,HOLM 104,N,Y,N,Y,N,N,N,1200,1320,1,LANG 301,N,Y,N,N,N,N,N,1900,2150,0,"Mercado, Julie",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55639,202505,55639,ACFM,326,1,,Managerial & Cost Accounting,1,,,N,N,N,BERT 012,N,N,Y,N,Y,N,N,1300,1420,1,,,,,,,,,,,,"Alexander, Raquel M.",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55642,202505,55642,ACFM,362,2,ACFM 203 and ACFM 361 (Can be taken concurrently) and ANOP 102 and (PSYC 215 or MATH 192 or MATH 201 or MATH 216),Investments,1,,,N,N,N,ACWS 112,N,Y,N,Y,N,N,N,1200,1320,1,LANG 272,N,N,N,Y,N,N,N,1900,2150,0,"McGrath, Karen M.",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55643,202505,55643,ACFM,104,3,,Foundations of Accounting I,1,,,N,N,N,HOLM 129,N,Y,N,Y,N,N,N,1000,1120,1,LANG 301,N,Y,N,N,N,N,N,1900,2150,0,"Mercado, Julie",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55644,202505,55644,ACFM,104,4,,Foundations of Accounting I,1,,,N,N,N,HOLM 104,N,Y,N,Y,N,N,N,1330,1450,1,LANG 301,N,Y,N,N,N,N,N,1900,2150,0,"Mercado, Julie",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55645,202505,55645,ACFM,476,1,By Instructor Permission Only,Student Managed Invest Fund II,1,,,N,Y,N,HOLM 116,N,N,N,Y,N,N,N,1300,1350,0,HOLM 129,N,Y,N,N,N,N,N,1300,1550,1,"Nicholls, Curtis M.",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55646,202505,55646,ACFM,266,1,Common hour Monday 7:00-9:50 pm used occasionally. Common hour conflicts accepted. Please see instructor prior to registration for override.,Principles of Real Estate,1,,,N,N,Y,OLIN 275,N,Y,N,Y,N,Y,N,1500,1550,1,,N,Y,N,N,N,N,N,1900,2150,0,"Bond, Sandy",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55647,202505,55647,ACFM,369,1,,RE Finance & Investments,1,,,N,N,Y,HOLM 252,N,N,Y,N,Y,N,N,1300,1420,1,,,,,,,,,,,,"Geurts, Tom G.",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55648,202505,55648,ACFM,381,1,,Derivatives,1,,,N,N,N,HOLM 251,N,Y,N,Y,N,Y,N,900,950,1,,,,,,,,,,,,"Schreiner, Frank J.",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55649,202505,55649,ACFM,381,2,,Derivatives,1,,,N,N,N,HOLM 251,N,Y,N,Y,N,Y,N,1000,1050,1,,,,,,,,,,,,"Schreiner, Frank J.",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55650,202505,55650,ACFM,375,1,By Instructor Permission Only,Student Managed Invest Fund I,1,,,N,Y,N,HOLM 116,N,N,N,Y,N,N,N,1300,1350,0,HOLM 129,N,Y,N,N,N,N,N,1300,1550,1,"Schreiner, Frank J.",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55651,202505,55651,ACFM,203,1,Not open to students who have completed ACFM 210. Common hour Wednesday 7:00-9:50 used rarely. Conflicts are accepted. Please see instructor prior to registration for override. Prerequisite: ACFM 104,Corporate Finance,1,,,N,N,Y,TAYL 208,N,Y,N,Y,N,N,N,1330,1450,1,,N,N,N,Y,N,N,N,1900,2150,0,"Atta-Darkua, Vaska",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55652,202505,55652,ACFM,203,2,Not open to students who have completed ACFM 210. Common hour Wednesday 7:00-9:50 used rarely. Conflicts are accepted. Please see instructor prior to registration for override. Prerequisite: ACFM 104,Corporate Finance,1,,,N,N,Y,TAYL 208,N,Y,N,Y,N,N,N,1500,1620,1,,N,N,N,Y,N,N,N,1900,2150,0,"Atta-Darkua, Vaska",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55653,202505,55653,ACFM,104,5,,Foundations of Accounting I,1,,,N,N,N,HOLM 129,N,N,Y,N,Y,N,N,830,950,1,HOLM 116,N,N,N,Y,N,N,N,1900,2150,0,"Rivera, Vernan O.",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55654,202505,55654,ACFM,104,6,,Foundations of Accounting I,1,,,N,N,N,HOLM 129,N,N,Y,N,Y,N,N,1000,1120,1,HOLM 116,N,N,N,Y,N,N,N,1900,2150,0,"Rivera, Vernan O.",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55655,202505,55655,ACFM,203,3,"Not open to students who have completed ACFM 210. Common hour Wednesday 7:00-9:50, conflicts accepted with ACFM 383. See faculty regarding all other common hour conflicts. Please see instructor prior to registration for override. Prerequisite: ACFM 104",Corporate Finance,1,,,N,N,Y,HOLM 129,N,N,Y,N,Y,N,N,1500,1620,1,ACWS 112,N,N,N,Y,N,N,N,1900,2150,0,"Stauffer, Ryan C.",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55656,202505,55656,ACFM,203,4,"Not open to students who have completed ACFM 210. Common hour Wednesday 7:00-9:50, conflicts accepted with ACFM 383. See faculty regarding all other common hour conflicts. Please see instructor prior to registration for override. Prerequisite: ACFM 104",Corporate Finance,1,,,N,N,Y,HOLM 129,N,N,Y,N,Y,N,N,1300,1420,1,ACWS 112,N,N,N,Y,N,N,N,1900,2150,0,"Stauffer, Ryan C.",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55657,202505,55657,ACFM,361,1,Common hour Thursday 7:00-9:50 pm used frequently. Please see instructor prior to registration for override. Open to BSBA students. All others should waitlist for consideration after registration.,Financial Statement Analysis,1,,,N,N,N,TAYL 203,N,Y,N,Y,N,N,N,830,950,1,ACWS 210,N,N,N,N,Y,N,N,1900,2150,0,"Nicholls, Curtis M.",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55659,202505,55659,ACFM,382,1,,Behavioral Finance,1,,,N,N,N,HOLM 231,N,Y,N,Y,N,N,N,1500,1620,1,,,,,,,,,,,,"Pareek, Ankur",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55660,202505,55660,ACFM,150,1,This course is open to first-year and second-year students. All others may waitlist for consideration after registration is over.,Finance Speaker Series,0.5,,,N,N,N,HOLM 116,N,N,N,N,N,Y,N,1100,1150,0,,,,,,,,,,,,"Gutkowski, Missy M.",SLSC,Social Science,Y,Y,ACFM,,,,,,,,,,,,,,MGMT,,,,,,,,,,,,,,,
202505-55693,202505,55693,LAMS,260,1,"Seats reserved for first-year students in CBST 260. See <a href=""https://pubapps.bucknell.edu/CourseInformation/#/guide?term=202505&crn=55693&subject=LAMS&number=260"" target=""_blank"">Course Guide</a> for reserved seat information. Students can change crosslist course designation with assistance from the Registrar's Office after registration.<br>Crosslisted with CBST 260",Blackness in the Global South,1,,,N,N,N,ACWS 114,N,N,Y,N,Y,N,N,1300,1420,1,,,,,,,,,,,,"Cort, Aisha Z.",GBCC,Global Connections,Y,Y,LAMS,RPI,"Race, Power and Inequality",Y,Y,SLSC,Social Science,Y,Y,,,,,,,,,,,,,,,,,,,,,
202505-55700,202505,55700,LING,210,1,Crosslisted with CBST 210,Language and Race,1,,,N,N,Y,COLE 020,N,Y,N,Y,N,Y,N,1200,1250,1,,,,,,,,,,,,"Smith, Hiram L.",DUSC,Diversity in the U.S.,Y,Y,LING,RPI,"Race, Power and Inequality",Y,Y,SLSC,Social Science,Y,Y,,,,,,,,,,,,,,,,,,,,,
202505-55702,202505,55702,LING,237,1,"Prerequisite: PSYC 100, or LING 105, or LING 110, or LING 230. Cross-listed with PSYC 237.",Intro to Language Development,1,,,N,N,Y,COLE 150,N,N,Y,N,Y,N,N,1300,1420,1,,,,,,,,,,,,"Mitchel, Aaron D.",SLSC,Social Science,Y,Y,LING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55711,202505,55711,THEA,246,1,,Scene Design,1,,,Y,N,Y,COLE 231,N,N,Y,N,Y,N,N,1500,1620,1,,,,,,,,,,,,"Williams, Elaine",AHLG,Arts and Humanities Learning Goals,Y,Y,THEA,ARHC,Arts and Humanities,Y,Y,FRST,First year course,N,Y,,,,,,,,,,,,,,,,,,,,,
202505-55712,202505,55712,THEA,250,1,Full title - 'Costume & Fashion: Colorful Histories'',Colorful Fashion Histories,1,,,Y,N,Y,COLE 251,N,Y,N,Y,N,N,N,1330,1450,1,,,,,,,,,,,,"Holzwarth, Carly N.",AHLG,Arts and Humanities Learning Goals,Y,Y,THEA,ARHC,Arts and Humanities,Y,Y,FRST,First year course,N,Y,,,,,,,,,,,,,,,,,,,,,
202505-55715,202505,55715,MIDE,304,1,MIDE 304 is the MIDE culminating experience.  This course only counts as the culminating experience if taken as a senior or in the second semester of the junior year.  All seats held for senior MIDE majors.  All others may seek permission by the instructor.,Marketing Management,1,,,N,N,N,HOLM 104,N,N,Y,N,Y,N,N,1000,1120,1,,,,,,,,,,,,"Allen, Douglas E.",SLSC,Social Science,Y,Y,MGMT,,,,,,,,,,,,,,MIDE,,,,,,,,,,,,,,,
202505-55716,202505,55716,MIDE,304,2,MIDE 304 is the MIDE culminating experience.  This course only counts as the culminating experience if taken as a senior or in the second semester of the junior year.  All seats held for senior MIDE majors.  All others may seek permission by the instructor.,Marketing Management,1,,,N,N,N,HOLM 341,N,N,Y,N,Y,N,N,1300,1420,1,,,,,,,,,,,,"Allen, Douglas E.",SLSC,Social Science,Y,Y,MGMT,,,,,,,,,,,,,,MIDE,,,,,,,,,,,,,,,
202505-55720,202505,55720,MIDE,300,1,,"Markets, Innovation & Design",1,,Closed,N,N,N,HOLM 300,N,N,Y,N,Y,N,N,830,950,1,,,,,,,,,,,,"Diego, Gabriela",SLSC,Social Science,Y,Y,MGMT,,,,,,,,,,,,,,MIDE,,,,,,,,,,,,,,,
202505-55723,202505,55723,MIDE,201,1,,Marketing,1,,Closed,N,N,N,HOLM 251,N,Y,N,Y,N,N,N,1330,1450,1,,,,,,,,,,,,"Grant, Annetta",SLSC,Social Science,Y,Y,MGMT,,,,,,,,,,,,,,MIDE,,,,,,,,,,,,,,,
202505-55724,202505,55724,MIDE,201,2,,Marketing,1,,Closed,N,N,N,HOLM 251,N,Y,N,Y,N,N,N,1500,1620,1,,,,,,,,,,,,"Grant, Annetta",SLSC,Social Science,Y,Y,MGMT,,,,,,,,,,,,,,MIDE,,,,,,,,,,,,,,,
202505-55725,202505,55725,MIDE,201,3,,Marketing,1,,Closed,N,N,N,HOLM 341,N,N,N,Y,N,Y,N,1330,1450,1,,,,,,,,,,,,"Kumar, Ankita",SLSC,Social Science,Y,Y,MGMT,,,,,,,,,,,,,,MIDE,,,,,,,,,,,,,,,
202505-55726,202505,55726,MIDE,201,4,,Marketing,1,,Closed,N,N,N,HOLM 341,N,N,N,Y,N,Y,N,1500,1620,1,,,,,,,,,,,,"Kumar, Ankita",SLSC,Social Science,Y,Y,MGMT,,,,,,,,,,,,,,MIDE,,,,,,,,,,,,,,,
202505-55727,202505,55727,MIDE,201,5,,Marketing,1,,Closed,N,N,N,HOLM 341,N,N,Y,N,Y,N,N,830,950,1,,,,,,,,,,,,"Guzel, Gulay",SLSC,Social Science,Y,Y,MGMT,,,,,,,,,,,,,,MIDE,,,,,,,,,,,,,,,
202505-55728,202505,55728,MIDE,201,6,,Marketing,1,,Closed,N,N,N,HOLM 341,N,N,Y,N,Y,N,N,1000,1120,1,,,,,,,,,,,,"Guzel, Gulay",SLSC,Social Science,Y,Y,MGMT,,,,,,,,,,,,,,MIDE,,,,,,,,,,,,,,,
202505-55738,202505,55738,CHEM,212,1,Students must register for lab section 212-L60 and recitation 212-R40.,Organic Chemistry II,1,,,N,N,N,RCHM 101,N,N,Y,N,Y,N,N,1000,1120,1,,,,,,,,,,,,"Stockland, Robert A.",NSMC,Natural Science and Mathematics,Y,Y,CHEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55739,202505,55739,CHEM,212L,61,,Lab for Organic Chemistry II,0,,,N,N,N,RCHM 101,N,Y,N,N,N,N,N,1400,1450,0,RCHM 335,N,Y,N,N,N,N,N,1500,1650,0,"Stockland, Robert A.",NSMC,Natural Science and Mathematics,Y,Y,CHEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202505-55740,202505,55740,CHEM,351,1,"Wednesday evening time slot will be used for exams, no more than 3 times during the semester.  Students must choose a recitation section.",Biochemistry I,1,,,N,N,N,BIOL 101,N,Y,N,Y,N,Y,N,1000,1050,1,,N,N,N,Y,N,N,N,1900,2020,0,"Switzer, Rebecca L.",NSMC,Natural Science and Mathematics,Y,Y,CHEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
